id;nombre;dni;empresa
1;Credit Card Account;Tools Handmade;true
2;New Jersey enterprise synthesize;Operative Green Incredible;false
3;card Wooden;Bolivar Fuerte Up-sized Savings Account;false
4;Wisconsin;incubate;true
5;matrix Accounts;initiatives policy cross-platform;true
6;Specialist digital Product;override;false
7;Music feed North Dakota;Auto Loan Account blue;false
8;tan transitional Flat;Avon Shoal dynamic;false
9;user-facing Intelligent Granite;Home Frozen Handcrafted;true
10;deposit instruction set;Dynamic pixel New Mexico;false
